timestamp,solar_mw,irradiance_wm2,cloud_cover_pct,temperature_c,hour
2024-01-01 00:00:00,0.16,0.0,40.23,19.2,0
2024-01-01 01:00:00,2.22,0.0,50.59,18.39,1
2024-01-01 02:00:00,0.0,0.0,60.12,19.85,2
2024-01-01 03:00:00,4.88,0.0,63.99,20.96,3
2024-01-01 04:00:00,0.12,0.0,22.4,23.57,4
2024-01-01 05:00:00,0.0,0.0,56.89,25.24,5
2024-01-01 06:00:00,1.79,0.0,61.35,26.32,6
2024-01-01 07:00:00,11.63,123.16,70.69,27.94,7
2024-01-01 08:00:00,12.42,179.64,90.12,27.82,8
2024-01-01 09:00:00,31.84,364.11,64.18,27.51,9
2024-01-01 10:00:00,48.05,548.38,44.47,28.88,10
2024-01-01 11:00:00,67.77,706.41,28.11,28.3,11
2024-01-01 12:00:00,43.22,460.78,73.2,29.45,12
2024-01-01 13:00:00,57.97,607.41,45.19,27.87,13
2024-01-01 14:00:00,33.83,382.23,76.44,27.28,14
2024-01-01 15:00:00,15.35,271.57,85.99,27.0,15
2024-01-01 16:00:00,32.94,350.87,33.04,24.33,16
2024-01-01 17:00:00,12.4,122.98,70.81,24.74,17
2024-01-01 18:00:00,0.0,0.0,84.1,21.14,18
2024-01-01 19:00:00,1.51,0.0,79.18,21.62,19
2024-01-01 20:00:00,0.0,0.0,23.1,20.23,20
2024-01-01 21:00:00,0.0,0.0,45.47,20.41,21
2024-01-01 22:00:00,0.0,0.0,37.79,17.77,22
2024-01-01 23:00:00,0.0,0.0,70.26,17.51,23
2024-01-02 00:00:00,3.93,0.0,77.65,20.06,0
2024-01-02 01:00:00,4.39,0.0,21.65,19.48,1
2024-01-02 02:00:00,0.0,0.0,64.8,20.63,2
2024-01-02 03:00:00,0.0,0.0,84.62,21.14,3
2024-01-02 04:00:00,0.0,0.0,72.87,23.94,4
2024-01-02 05:00:00,0.95,0.0,72.84,24.63,5
