timestamp,demand_mw
2024-01-01 00:00:00,952.42
2024-01-01 01:00:00,956.29
2024-01-01 02:00:00,991.63
2024-01-01 03:00:00,1024.13
2024-01-01 04:00:00,985.03
2024-01-01 05:00:00,983.78
2024-01-01 06:00:00,1021.89
2024-01-01 07:00:00,988.91
2024-01-01 08:00:00,940.75
2024-01-01 09:00:00,945.46
2024-01-01 10:00:00,897.78
2024-01-01 11:00:00,874.83
2024-01-01 12:00:00,870.86
2024-01-01 13:00:00,798.04
2024-01-01 14:00:00,787.85
2024-01-01 15:00:00,807.1
2024-01-01 16:00:00,791.81
2024-01-01 17:00:00,827.04
2024-01-01 18:00:00,804.51
2024-01-01 19:00:00,805.39
2024-01-01 20:00:00,895.38
2024-01-01 21:00:00,874.49
2024-01-01 22:00:00,905.15
2024-01-01 23:00:00,891.53
2024-01-02 00:00:00,936.01
2024-01-02 01:00:00,972.14
2024-01-02 02:00:00,956.29
2024-01-02 03:00:00,1005.07
2024-01-02 04:00:00,985.49
2024-01-02 05:00:00,991.96
2024-01-02 06:00:00,976.98
2024-01-02 07:00:00,1025.65
2024-01-02 08:00:00,961.77
2024-01-02 09:00:00,915.07
2024-01-02 10:00:00,939.55
2024-01-02 11:00:00,865.58
2024-01-02 12:00:00,879.65
2024-01-02 13:00:00,806.5
2024-01-02 14:00:00,807.38
2024-01-02 15:00:00,835.7
2024-01-02 16:00:00,845.21
2024-01-02 17:00:00,833.09
2024-01-02 18:00:00,833.94
2024-01-02 19:00:00,842.79
2024-01-02 20:00:00,831.39
2024-01-02 21:00:00,871.76
2024-01-02 22:00:00,901.56
2024-01-02 23:00:00,963.2
2024-01-03 00:00:00,967.83
2024-01-03 01:00:00,934.91
2024-01-03 02:00:00,1002.78
2024-01-03 03:00:00,995.67
2024-01-03 04:00:00,993.2
2024-01-03 05:00:00,1024.16
2024-01-03 06:00:00,1027.42
2024-01-03 07:00:00,1012.25
2024-01-03 08:00:00,950.75
2024-01-03 09:00:00,943.4
2024-01-03 10:00:00,936.89
2024-01-03 11:00:00,930.1
2024-01-03 12:00:00,872.07
2024-01-03 13:00:00,860.46
2024-01-03 14:00:00,822.55
2024-01-03 15:00:00,810.49
2024-01-03 16:00:00,856.68
2024-01-03 17:00:00,872.33
2024-01-03 18:00:00,844.65
2024-01-03 19:00:00,885.02
2024-01-03 20:00:00,887.01
2024-01-03 21:00:00,883.24
2024-01-03 22:00:00,931.73
2024-01-03 23:00:00,984.84
2024-01-04 00:00:00,967.96
2024-01-04 01:00:00,1027.72
2024-01-04 02:00:00,938.81
2024-01-04 03:00:00,1035.46
2024-01-04 04:00:00,1021.92
2024-01-04 05:00:00,1011.01
2024-01-04 06:00:00,1013.56
2024-01-04 07:00:00,948.9
2024-01-04 08:00:00,975.85
2024-01-04 09:00:00,969.68
2024-01-04 10:00:00,975.17
2024-01-04 11:00:00,902.38
2024-01-04 12:00:00,873.45
2024-01-04 13:00:00,862.18
2024-01-04 14:00:00,882.71
2024-01-04 15:00:00,858.24
2024-01-04 16:00:00,832.74
2024-01-04 17:00:00,860.88
2024-01-04 18:00:00,858.5
2024-01-04 19:00:00,893.77
2024-01-04 20:00:00,870.04
2024-01-04 21:00:00,900.8
2024-01-04 22:00:00,922.51
2024-01-04 23:00:00,919.42
2024-01-05 00:00:00,985.88
2024-01-05 01:00:00,1004.75
2024-01-05 02:00:00,1014.05
2024-01-05 03:00:00,1018.67
2024-01-05 04:00:00,993.98
2024-01-05 05:00:00,1017.59
2024-01-05 06:00:00,1012.31
2024-01-05 07:00:00,988.15
2024-01-05 08:00:00,986.93
2024-01-05 09:00:00,980.47
2024-01-05 10:00:00,995.0
2024-01-05 11:00:00,929.32
2024-01-05 12:00:00,909.73
2024-01-05 13:00:00,882.48
2024-01-05 14:00:00,821.48
2024-01-05 15:00:00,858.97
2024-01-05 16:00:00,857.11
2024-01-05 17:00:00,919.24
2024-01-05 18:00:00,860.88
2024-01-05 19:00:00,886.71
2024-01-05 20:00:00,896.34
2024-01-05 21:00:00,889.39
2024-01-05 22:00:00,970.51
2024-01-05 23:00:00,984.43
2024-01-06 00:00:00,1007.87
2024-01-06 01:00:00,985.1
2024-01-06 02:00:00,1058.61
2024-01-06 03:00:00,999.11
2024-01-06 04:00:00,1053.65
2024-01-06 05:00:00,1092.49
2024-01-06 06:00:00,1005.74
2024-01-06 07:00:00,1003.67
2024-01-06 08:00:00,1003.08
2024-01-06 09:00:00,967.4
2024-01-06 10:00:00,918.7
2024-01-06 11:00:00,936.29
2024-01-06 12:00:00,886.35
2024-01-06 13:00:00,905.8
2024-01-06 14:00:00,856.08
2024-01-06 15:00:00,908.0
2024-01-06 16:00:00,845.65
2024-01-06 17:00:00,859.23
2024-01-06 18:00:00,895.65
2024-01-06 19:00:00,858.02
2024-01-06 20:00:00,912.52
2024-01-06 21:00:00,960.91
2024-01-06 22:00:00,911.37
2024-01-06 23:00:00,979.86
2024-01-07 00:00:00,1004.21
2024-01-07 01:00:00,1037.0
2024-01-07 02:00:00,1002.23
2024-01-07 03:00:00,1010.76
2024-01-07 04:00:00,1061.65
2024-01-07 05:00:00,1054.77
2024-01-07 06:00:00,1046.38
2024-01-07 07:00:00,1036.1
2024-01-07 08:00:00,993.2
2024-01-07 09:00:00,995.41
2024-01-07 10:00:00,974.41
2024-01-07 11:00:00,926.33
2024-01-07 12:00:00,969.17
2024-01-07 13:00:00,915.43
2024-01-07 14:00:00,858.9
2024-01-07 15:00:00,895.29
2024-01-07 16:00:00,850.48
2024-01-07 17:00:00,896.58
2024-01-07 18:00:00,913.89
2024-01-07 19:00:00,877.89
2024-01-07 20:00:00,940.53
2024-01-07 21:00:00,948.17
2024-01-07 22:00:00,981.73
2024-01-07 23:00:00,1032.29
2024-01-08 00:00:00,1001.2
2024-01-08 01:00:00,1008.23
2024-01-08 02:00:00,1020.54
2024-01-08 03:00:00,1032.99
2024-01-08 04:00:00,1056.29
2024-01-08 05:00:00,1065.49
