timestamp,wind_mw,wind_speed_ms
2024-01-01 00:00:00,283.96,9.56
2024-01-01 01:00:00,259.24,6.9
2024-01-01 02:00:00,211.04,6.36
2024-01-01 03:00:00,172.23,7.99
2024-01-01 04:00:00,256.35,7.66
2024-01-01 05:00:00,241.24,7.09
2024-01-01 06:00:00,274.25,9.39
2024-01-01 07:00:00,261.23,9.91
2024-01-01 08:00:00,288.3,8.18
2024-01-01 09:00:00,195.03,10.96
2024-01-01 10:00:00,307.58,5.72
2024-01-01 11:00:00,241.32,7.61
2024-01-01 12:00:00,354.46,6.57
2024-01-01 13:00:00,188.59,4.27
2024-01-01 14:00:00,333.63,7.83
2024-01-01 15:00:00,240.41,7.76
2024-01-01 16:00:00,188.06,11.03
2024-01-01 17:00:00,196.3,9.26
2024-01-01 18:00:00,203.89,5.95
2024-01-01 19:00:00,245.99,11.71
2024-01-01 20:00:00,249.0,10.44
2024-01-01 21:00:00,180.03,9.16
2024-01-01 22:00:00,209.58,7.55
2024-01-01 23:00:00,336.0,6.08
2024-01-02 00:00:00,307.41,7.26
2024-01-02 01:00:00,226.18,10.18
2024-01-02 02:00:00,198.52,11.77
2024-01-02 03:00:00,199.74,11.09
2024-01-02 04:00:00,225.77,7.02
2024-01-02 05:00:00,124.18,5.76
2024-01-02 06:00:00,166.92,8.28
2024-01-02 07:00:00,79.35,4.46
2024-01-02 08:00:00,200.84,8.65
2024-01-02 09:00:00,213.5,7.7
2024-01-02 10:00:00,143.86,7.07
2024-01-02 11:00:00,265.91,4.81
2024-01-02 12:00:00,96.99,9.03
2024-01-02 13:00:00,82.2,6.93
2024-01-02 14:00:00,183.53,5.66
2024-01-02 15:00:00,233.36,2.26
2024-01-02 16:00:00,272.5,7.94
2024-01-02 17:00:00,145.32,11.54
2024-01-02 18:00:00,239.39,11.32
2024-01-02 19:00:00,174.57,7.09
2024-01-02 20:00:00,169.11,6.8
2024-01-02 21:00:00,235.39,8.94
2024-01-02 22:00:00,224.69,6.0
2024-01-02 23:00:00,94.37,8.6
2024-01-03 00:00:00,281.13,9.53
2024-01-03 01:00:00,279.05,10.45
2024-01-03 02:00:00,162.47,7.8
2024-01-03 03:00:00,227.51,7.59
2024-01-03 04:00:00,237.1,6.24
2024-01-03 05:00:00,226.68,6.35
2024-01-03 06:00:00,181.43,7.55
2024-01-03 07:00:00,177.34,8.73
2024-01-03 08:00:00,219.0,9.83
2024-01-03 09:00:00,293.48,6.39
2024-01-03 10:00:00,257.95,10.99
2024-01-03 11:00:00,204.91,7.46
2024-01-03 12:00:00,274.83,7.96
